YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2019-05,WEEKDAY,12,TRAIN,EW17,25139,27049
2019-05,WEEKENDS/HOLIDAY,12,TRAIN,EW17,15356,14176
2019-05,WEEKENDS/HOLIDAY,17,TRAIN,DT21,4873,3365
2019-05,WEEKDAY,17,TRAIN,DT21,15270,9015
2019-05,WEEKDAY,19,TRAIN,CC13,35062,89837
2019-05,WEEKDAY,19,TRAIN,NE12,38497,72868
2019-05,WEEKENDS/HOLIDAY,19,TRAIN,NE12,15803,18102
2019-05,WEEKENDS/HOLIDAY,19,TRAIN,CC13,15543,20973
2019-05,WEEKENDS/HOLIDAY,6,TRAIN,EW31,833,1191
2019-05,WEEKDAY,6,TRAIN,EW31,2765,6526
2019-05,WEEKENDS/HOLIDAY,15,TRAIN,EW7,7434,8332
2019-05,WEEKDAY,15,TRAIN,EW7,10987,16067
2019-05,WEEKENDS/HOLIDAY,0,TRAIN,NE17-PTC,383,1777
2019-05,WEEKDAY,0,TRAIN,NE17-PTC,588,3533
2019-05,WEEKENDS/HOLIDAY,13,TRAIN,BP12,1807,1354
2019-05,WEEKDAY,13,TRAIN,BP12,4756,3377
2019-05,WEEKDAY,14,TRAIN,NS17,19898,9612
2019-05,WEEKENDS/HOLIDAY,14,TRAIN,NS17,9302,4640
2019-05,WEEKENDS/HOLIDAY,14,TRAIN,CC15,18713,19431
2019-05,WEEKDAY,14,TRAIN,CC15,35097,38195
2019-05,WEEKDAY,16,TRAIN,CC10,11242,8750
2019-05,WEEKENDS/HOLIDAY,16,TRAIN,CC10,5754,4192
2019-05,WEEKENDS/HOLIDAY,16,TRAIN,DT26,2001,1545
2019-05,WEEKDAY,16,TRAIN,DT26,3310,3470
2019-05,WEEKENDS/HOLIDAY,6,TRAIN,DT28,3391,1281
2019-05,WEEKDAY,6,TRAIN,DT28,15940,7202
2019-05,WEEKDAY,5,TRAIN,DT7,135,66
2019-05,WEEKENDS/HOLIDAY,5,TRAIN,DT7,34,5
2019-05,WEEKENDS/HOLIDAY,11,TRAIN,PW5,1636,830
2019-05,WEEKDAY,11,TRAIN,PW5,2152,1508
2019-05,WEEKENDS/HOLIDAY,18,TRAIN,BP3,2352,2782
2019-05,WEEKDAY,18,TRAIN,BP3,4689,15409
2019-05,WEEKDAY,22,TRAIN,CC28,1166,4318
2019-05,WEEKENDS/HOLIDAY,22,TRAIN,CC28,635,1906
